Month,Unemployment_Rate,Population,Bankruptcy_Rate,House_Price_Index
11987,9.5,26232423,0.0077004,52.2
21987,9.5,26254410,0.0082196,53.1
31987,9.4,26281420,0.0084851,54.7
41987,9.2,26313260,0.0078326,55.4
51987,8.9,26346526,0.0070901,55.9
61987,8.9,26379319,0.0083285,56.1
71987,8.7,26412105,0.0072202,56.4
81987,8.6,26446688,0.0074527,56.7
91987,8.4,26482154,0.0076957,57.2
101987,8.3,26516153,0.0080668,57.5
111987,8.2,26544879,0.0081824,57.7
121987,8,26566159,0.0068621,57.8
11988,8.1,26583485,0.0073843,58
21988,7.8,26600879,0.0087892,58.6
31988,7.8,26622526,0.0092403,59.1
41988,7.7,26648818,0.0077377,60.2
51988,7.8,26678297,0.0081639,61
61988,7.6,26710405,0.0081204,61.5
71988,7.8,26746737,0.0068793,61.7
81988,7.8,26790238,0.0082455,62.2
91988,7.8,26839820,0.0083346,63.4
101988,7.8,26890791,0.0084527,63.8
111988,7.8,26936060,0.0092515,64.7
121988,7.4,26971227,0.0069074,65.5
11989,7.5,27001032,0.008096,66.2
21989,7.6,27030399,0.0083721,67.8
31989,7.5,27065448,0.0087307,68.9
41989,7.8,27106166,0.0082675,69.5
51989,7.7,27148106,0.0089546,69.7
61989,7.5,27189046,0.0090956,70.1
71989,7.5,27230563,0.0074806,70.3
81989,7.3,27276227,0.0096274,70.3
91989,7.3,27325109,0.0096541,70.6
101989,7.2,27371693,0.0106972,71
111989,7.5,27407759,0.0109531,71.4
121989,7.7,27428799,0.0085676,71.9
11990,7.9,27442697,0.010112,72.5
21990,7.7,27459657,0.0105391,72.6
31990,7.3,27487919,0.0119689,72.8
41990,7.6,27526132,0.0106408,72.6
51990,7.8,27567561,0.0122245,72.3
61990,7.6,27607773,0.0120437,71.4
71990,7.9,27647719,0.0120516,71
81990,8.1,27690823,0.0143838,70.3
91990,8.5,27736330,0.0128604,69.4
101990,8.8,27779328,0.0174302,68.8
111990,9.1,27812397,0.017823,68.2
121990,9.5,27831205,0.0143256,67.9
11991,9.8,27841798,0.0175887,66.9
21991,10.2,27852419,0.0183216,65.5
31991,10.5,27870127,0.0186113,65.8
41991,10.3,27895927,0.0202754,65.6
51991,10.2,27927567,0.0192426,66
61991,10.5,27963057,0.0172978,66
71991,10.5,28000527,0.0185747,66.1
81991,10.5,28038675,0.0178254,66
91991,10.3,28074245,0.0189569,66
101991,10.3,28105444,0.0207433,66
111991,10.4,28129865,0.0207075,65.7
121991,10.3,28146756,0.0172062,65.7
11992,10.4,28161160,0.0192712,65.6
21992,10.5,28178762,0.0201357,65.5
31992,10.9,28204331,0.0207982,65.7
41992,10.7,28236274,0.0191385,65.9
51992,11,28270065,0.0176583,65.9
61992,11.4,28302749,0.0195069,66
71992,11.3,28335358,0.0181011,66.1
81992,11.7,28370830,0.0159107,66.1
91992,11.6,28408815,0.0183746,66
101992,11.4,28446035,0.017549,66.1
111992,12.1,28477261,0.0180495,66.2
121992,11.7,28499332,0.0169548,66.1
11993,11.2,28516128,0.0159348,66
21993,11,28532224,0.0170088,66.3
31993,11.2,28552320,0.0194835,66.7
41993,11.6,28576299,0.0171261,67
51993,11.6,28601054,0.0161078,66.8
61993,11.7,28625233,0.0169675,66.9
71993,11.6,28651214,0.0153362,67
81993,11.2,28683126,0.0154411,67.1
91993,11.5,28721124,0.015842,67.1
101993,11.3,28759733,0.0161128,67
111993,11.3,28790824,0.0167935,67
121993,11.4,28809438,0.0151721,66.9
11994,11.4,28821073,0.0132819,67
21994,11.1,28833348,0.0161722,66.9
31994,10.6,28852660,0.0193778,66.9
